Mailbox,UPN,MailboxType,HasForwarding,ForwardTo,DeliverAndForward,LitigationHold,HoldDate
Lab User 001,lab.user001@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 002,lab.user002@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 003,lab.user003@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 004,lab.user004@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 005,DiscoverySearchMailbox{4a53e7ad-68a8-50b8-ac75-c508d4410544}@enterprise.example,DiscoveryMailbox,False,None,False,False,N/A
Lab User 006,lab.user005@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 007,lab.user006@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 008,lab.user007@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 009,lab.user008@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 010,lab.user009@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 011,lab.user010@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 012,lab.user011@enterprise.example,SharedMailbox,False,None,False,False,N/A
Lab User 013,lab.user012@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 014,lab.user013@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 015,lab.user014@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 016,lab.user015@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 017,lab.user016@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 018,lab.user017@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 019,lab.user018@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 020,lab.user019@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 021,lab.user020@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 022,lab.user021@enterprise.example,UserMailbox,False,None,False,False,N/A
Lab User 023,lab.user022@enterprise.example,UserMailbox,False,None,False,False,N/A
