DisplayName,UserPrincipalName,Mail,AccountEnabled,CreatedDateTime
Lab User 024,lab.user023@enterprise.example,,True,15/5/2026 3:31:50 AM
Lab User 001,lab.user001@enterprise.example,lab.user001@enterprise.example,True,3/5/2026 12:29:41 AM
Lab User 002,lab.user002@enterprise.example,lab.user002@enterprise.example,True,3/5/2026 12:29:46 AM
Lab User 004,lab.user004@enterprise.example,lab.user004@enterprise.example,True,14/5/2026 5:05:34 AM
Lab User 003,lab.user003@enterprise.example,lab.user003@enterprise.example,True,14/5/2026 5:05:35 AM
Lab User 025,lab.user024@enterprise.example,,True,15/5/2026 3:31:51 AM
Lab User 026,lab.user025@enterprise.example,,True,15/5/2026 3:31:51 AM
Lab User 006,lab.user005@enterprise.example,lab.user005@enterprise.example,True,3/5/2026 12:29:47 AM
Lab User 008,lab.user007@enterprise.example,lab.user007@enterprise.example,True,3/5/2026 12:29:42 AM
Lab User 007,lab.user006@enterprise.example,lab.user006@enterprise.example,True,14/5/2026 5:05:31 AM
Lab User 009,lab.user008@enterprise.example,lab.user008@enterprise.example,True,3/5/2026 12:29:48 AM
Lab User 011,lab.user010@enterprise.example,lab.user010@enterprise.example,True,14/5/2026 5:05:33 AM
Lab User 012,lab.user011@enterprise.example,lab.user011@enterprise.example,False,21/5/2026 9:00:31 PM
Lab User 010,lab.user009@enterprise.example,lab.user009@enterprise.example,True,14/5/2026 5:05:28 AM
Lab User 027,lab.user026@enterprise.example,,True,15/5/2026 3:31:52 AM
Lab User 013,lab.user012@enterprise.example,lab.user012@enterprise.example,True,14/5/2026 5:05:30 AM
Lab User 014,lab.user013@enterprise.example,lab.user013@enterprise.example,True,3/5/2026 12:29:42 AM
Lab User 016,lab.user015@enterprise.example,lab.user015@enterprise.example,True,14/5/2026 5:05:32 AM
Lab User 019,lab.user018@enterprise.example,lab.user018@enterprise.example,True,14/5/2026 5:05:29 AM
Lab User 017,lab.user016@enterprise.example,lab.user016@enterprise.example,True,3/5/2026 12:29:47 AM
Lab User 018,lab.user017@enterprise.example,lab.user017@enterprise.example,True,14/5/2026 5:05:36 AM
Lab User 020,lab.user019@enterprise.example,lab.user019@enterprise.example,True,14/5/2026 5:05:32 AM
Lab User 021,lab.user020@enterprise.example,lab.user020@enterprise.example,True,3/5/2026 12:29:44 AM
Lab User 022,lab.user021@enterprise.example,lab.user021@enterprise.example,True,3/5/2026 12:29:45 AM
Lab User 015,lab.user014@enterprise.example,lab.user014@enterprise.example,True,2/5/2026 9:39:52 PM
