RoleName,DisplayName,UserPrincipalName,UserId
Teams Administrator,Lab User 008,lab.user007@enterprise.example,d4359c5f-0978-5570-bdde-b02d44d6d763
Security Reader,Lab User 015,lab.user014@enterprise.example,97c00bb4-7f75-5df4-845b-ddef423765dd
User Administrator,Lab User 004,lab.user004@enterprise.example,028e9abc-bfbd-5a21-b087-40858c5b239d
Exchange Administrator,Lab User 009,lab.user008@enterprise.example,e37da2bf-33ca-5c4d-82a9-634ed4197f1b
Helpdesk Administrator,Lab User 014,lab.user013@enterprise.example,af19613e-78d6-5da3-9254-eba7c33b7887
Helpdesk Administrator,,,a832c98f-e20f-5ee0-a69d-e15640465a04
Global Administrator,Lab User 015,lab.user014@enterprise.example,97c00bb4-7f75-5df4-845b-ddef423765dd
Global Administrator,Lab User 017,lab.user016@enterprise.example,65c2f403-e6ab-5aee-b8e8-4f34f1880ae2
Service Support Administrator,Lab User 010,lab.user009@enterprise.example,81e146bc-f7a5-5bf4-944f-175cea7c7966
SharePoint Administrator,Lab User 003,lab.user003@enterprise.example,d94b6497-2e79-58b3-aec6-ba77606bcd70
