DisplayName,UserPrincipalName,AccountEnabled,UserType,Department,JobTitle,LastSignIn,LicenseCount,RiskFlag
Lab User 024,lab.user023@enterprise.example,TRUE,Member,Mathematics,,,0,Review - Enabled User With No Sign-In Data
Lab User 001,lab.user001@enterprise.example,TRUE,Member,Arts,Professor,15/5/2026 2:45:34 AM,1,OK
Lab User 002,lab.user002@enterprise.example,TRUE,Member,Science,Professor,,1,Review - Enabled User With No Sign-In Data
Lab User 004,lab.user004@enterprise.example,TRUE,Member,IT Operations,User Administrator,15/5/2026 2:45:04 AM,1,OK
Lab User 003,lab.user003@enterprise.example,TRUE,Member,IT Operations ,SharePoint Administrator,,1,Review - Enabled User With No Sign-In Data
Lab User 025,lab.user024@enterprise.example,TRUE,Member,English Studies,,,0,Review - Enabled User With No Sign-In Data
Lab User 026,lab.user025@enterprise.example,TRUE,Member,Computer Science,,,0,Review - Enabled User With No Sign-In Data
Lab User 006,lab.user005@enterprise.example,TRUE,Member,Science,Professor,,1,Review - Enabled User With No Sign-In Data
Lab User 008,lab.user007@enterprise.example,TRUE,Member,Collaboration Services,Teams Administrator,,1,Review - Enabled User With No Sign-In Data
Lab User 007,lab.user006@enterprise.example,TRUE,Member,,,,1,Review - Enabled User With No Sign-In Data
Lab User 009,lab.user008@enterprise.example,TRUE,Member,Messaging Services,Exchange Administrator,,1,Review - Enabled User With No Sign-In Data
Lab User 011,lab.user010@enterprise.example,TRUE,Member,,,,1,Review - Enabled User With No Sign-In Data
Lab User 012,lab.user011@enterprise.example,FALSE,Member,,,,0,OK
Lab User 010,lab.user009@enterprise.example,TRUE,Member,IT Support,Service Support Administrator,,1,Review - Enabled User With No Sign-In Data
Lab User 027,lab.user026@enterprise.example,TRUE,Member,Media & Communications,,,0,Review - Enabled User With No Sign-In Data
Lab User 013,lab.user012@enterprise.example,TRUE,Member,,,,1,Review - Enabled User With No Sign-In Data
Lab User 014,lab.user013@enterprise.example,TRUE,Member,IT Support,Helpdesk Technician,,1,Review - Enabled User With No Sign-In Data
Lab User 016,lab.user015@enterprise.example,TRUE,Member,,,,1,Review - Enabled User With No Sign-In Data
Lab User 019,lab.user018@enterprise.example,TRUE,Member,,,,1,Review - Enabled User With No Sign-In Data
Lab User 017,lab.user016@enterprise.example,TRUE,Member,Security Operations,Security Analyst,15/5/2026 2:50:11 AM,1,OK
Lab User 018,lab.user017@enterprise.example,TRUE,Member,,,,1,Review - Enabled User With No Sign-In Data
Lab User 020,lab.user019@enterprise.example,TRUE,Member,,,,1,Review - Enabled User With No Sign-In Data
Lab User 021,lab.user020@enterprise.example,TRUE,Member,Arts,Professor,,1,Review - Enabled User With No Sign-In Data
Lab User 022,lab.user021@enterprise.example,TRUE,Member,Science,Professor,,1,Review - Enabled User With No Sign-In Data
Lab User 015,lab.user014@enterprise.example,TRUE,Member,,,22/5/2026 5:53:09 PM,2,OK
Lab User 028,lab.user027@enterprise.example,TRUE,Member,Computer Science,,,0,Review - Enabled User With No Sign-In Data
Lab User 029,lab.user028@enterprise.example,TRUE,Member,Business Administration,,,0,Review - Enabled User With No Sign-In Data
Lab User 023,lab.user022@enterprise.example,TRUE,Member,Arts,Professor,,1,Review - Enabled User With No Sign-In Data
