DisplayName,UserPrincipalName,AccountEnabled,UserType,Department,JobTitle,LicenseCount,LicenseStatus,OptimizationFlag
Lab User 024,lab.user023@enterprise.example,True,Member,Mathematics,,0,Unlicensed,Review - Active User Without License
Lab User 001,lab.user001@enterprise.example,True,Member,Arts,Professor,1,Licensed,OK
Lab User 002,lab.user002@enterprise.example,True,Member,Science,Professor,1,Licensed,OK
Lab User 004,lab.user004@enterprise.example,True,Member,IT Operations,User Administrator,1,Licensed,OK
Lab User 003,lab.user003@enterprise.example,True,Member,IT Operations ,SharePoint Administrator,1,Licensed,OK
Lab User 025,lab.user024@enterprise.example,True,Member,English Studies,,0,Unlicensed,Review - Active User Without License
Lab User 026,lab.user025@enterprise.example,True,Member,Computer Science,,0,Unlicensed,Review - Active User Without License
Lab User 006,lab.user005@enterprise.example,True,Member,Science,Professor,1,Licensed,OK
Lab User 008,lab.user007@enterprise.example,True,Member,Collaboration Services,Teams Administrator,1,Licensed,OK
Lab User 007,lab.user006@enterprise.example,True,Member,,,1,Licensed,OK
Lab User 009,lab.user008@enterprise.example,True,Member,Messaging Services,Exchange Administrator,1,Licensed,OK
Lab User 011,lab.user010@enterprise.example,True,Member,,,1,Licensed,OK
Lab User 012,lab.user011@enterprise.example,False,Member,,,0,Unlicensed,OK
Lab User 010,lab.user009@enterprise.example,True,Member,IT Support,Service Support Administrator,1,Licensed,OK
Lab User 027,lab.user026@enterprise.example,True,Member,Media & Communications,,0,Unlicensed,Review - Active User Without License
Lab User 013,lab.user012@enterprise.example,True,Member,,,1,Licensed,OK
Lab User 014,lab.user013@enterprise.example,True,Member,IT Support,Helpdesk Technician,1,Licensed,OK
Lab User 016,lab.user015@enterprise.example,True,Member,,,1,Licensed,OK
Lab User 019,lab.user018@enterprise.example,True,Member,,,1,Licensed,OK
Lab User 017,lab.user016@enterprise.example,True,Member,Security Operations,Security Analyst,1,Licensed,OK
Lab User 018,lab.user017@enterprise.example,True,Member,,,1,Licensed,OK
Lab User 020,lab.user019@enterprise.example,True,Member,,,1,Licensed,OK
Lab User 021,lab.user020@enterprise.example,True,Member,Arts,Professor,1,Licensed,OK
Lab User 022,lab.user021@enterprise.example,True,Member,Science,Professor,1,Licensed,OK
Lab User 015,lab.user014@enterprise.example,True,Member,,,2,Licensed,OK
Lab User 028,lab.user027@enterprise.example,True,Member,Computer Science,,0,Unlicensed,Review - Active User Without License
Lab User 029,lab.user028@enterprise.example,True,Member,Business Administration,,0,Unlicensed,Review - Active User Without License
Lab User 023,lab.user022@enterprise.example,True,Member,Arts,Professor,1,Licensed,OK
