RoleName,DisplayName,UserPrincipalName,Department,JobTitle,AccountEnabled,RiskLevel
Teams Administrator,Lab User 008,lab.user007@enterprise.example,Collaboration Services,Teams Administrator,TRUE,STANDARD
Security Reader,Lab User 015,lab.user014@enterprise.example,,,TRUE,STANDARD
User Administrator,Lab User 004,lab.user004@enterprise.example,IT Operations,User Administrator,TRUE,STANDARD
Exchange Administrator,Lab User 009,lab.user008@enterprise.example,Messaging Services,Exchange Administrator,TRUE,HIGH
Helpdesk Administrator,Lab User 014,lab.user013@enterprise.example,IT Support,Helpdesk Technician,TRUE,STANDARD
Helpdesk Administrator,,,,,,STANDARD
Global Administrator,Lab User 015,lab.user014@enterprise.example,,,TRUE,CRITICAL
Global Administrator,Lab User 017,lab.user016@enterprise.example,Security Operations,Security Analyst,TRUE,CRITICAL
Service Support Administrator,Lab User 010,lab.user009@enterprise.example,IT Support,Service Support Administrator,TRUE,STANDARD
SharePoint Administrator,Lab User 003,lab.user003@enterprise.example,IT Operations ,SharePoint Administrator,TRUE,MEDIUM
